mode,device_id,gpu_name,compute_capability,precision,input_type,accumulator_type,output_type,m,n,k,median_ms,p90_ms,throughput,unit,best,validation,status,algorithm,workspace_bytes,message
isolated,2,NVIDIA RTX PRO 5000 Blackwell,12.0,tf32,FP32,FP32,FP32,12288,12288,12288,26.934401,26.957279,137.773690,TFLOPS,True,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=3072, expected=3072, tolerance=92.16"
isolated,2,NVIDIA RTX PRO 5000 Blackwell,12.0,fp32,FP32,FP32,FP32,4096,4096,4096,2.751584,2.756704,49.949030,TFLOPS,False,PASS,OK,cuBLASLt algo 20 layout=NN per-tensor scale,2048,"actual=1024, expected=1024, tolerance=0.01024"
isolated,2,NVIDIA RTX PRO 5000 Blackwell,12.0,fp32,FP32,FP32,FP32,8192,8192,8192,21.323681,21.340160,51.562938,TFLOPS,True,PASS,OK,cuBLASLt algo 20 layout=NN per-tensor scale,0,"actual=2048, expected=2048, tolerance=0.02048"
isolated,2,NVIDIA RTX PRO 5000 Blackwell,12.0,fp32,FP32,FP32,FP32,12288,12288,12288,74.255203,74.283997,49.974299,TFLOPS,False,PASS,OK,cuBLASLt algo 20 layout=NN per-tensor scale,18432,"actual=3072, expected=3072, tolerance=0.03072"
isolated,2,NVIDIA RTX PRO 5000 Blackwell,12.0,fp64,FP64,FP64,FP64,2048,2048,2048,17.404097,17.406624,0.987116,TFLOPS,False,PASS,OK,cuBLASLt algo 22 layout=NN per-tensor scale,0,"actual=512, expected=512, tolerance=1e-06"
isolated,2,NVIDIA RTX PRO 5000 Blackwell,12.0,fp64,FP64,FP64,FP64,4096,4096,4096,137.340729,137.347458,1.000715,TFLOPS,False,PASS,OK,cuBLASLt algo 22 layout=NN per-tensor scale,0,"actual=1024, expected=1024, tolerance=1e-06"
isolated,2,NVIDIA RTX PRO 5000 Blackwell,12.0,fp64,FP64,FP64,FP64,6144,6144,6144,461.524933,461.555481,1.005052,TFLOPS,True,PASS,OK,cuBLASLt algo 22 layout=NN per-tensor scale,0,"actual=1536, expected=1536, tolerance=1e-06"
isolated,3,NVIDIA RTX PRO 5000 Blackwell,12.0,int4,,,,0,0,0,0.000000,0.000000,0.000000,,False,NOT_RUN,UNSUPPORTED,,0,"cuBLASLt does not provide a dense INT4 GEMM kernel; INT4 Tensor Core is used via inference frameworks (CUTLASS/quantized paths), not standard dense GEMM APIs"
isolated,3,NVIDIA RTX PRO 5000 Blackwell,12.0,int8,INT8,INT32,INT32,4096,4096,4096,0.298048,0.298880,461.130282,TOPS,False,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=4096, expected=4096, tolerance=1e-06"
isolated,3,NVIDIA RTX PRO 5000 Blackwell,12.0,int8,INT8,INT32,INT32,8192,8192,8192,2.101664,2.106976,523.162405,TOPS,False,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=8192, expected=8192, tolerance=1e-06"
isolated,3,NVIDIA RTX PRO 5000 Blackwell,12.0,int8,INT8,INT32,INT32,16384,16384,16384,16.087551,16.187807,546.763952,TOPS,True,PASS,OK,cuBLASLt algo 21 layout=TN per-tensor scale,0,"actual=16384, expected=16384, tolerance=1e-06"
isolated,3,NVIDIA RTX PRO 5000 Blackwell,12.0,fp8_e4m3,FP8_E4M3,FP32,FP16,4096,4096,4096,0.324832,0.328864,423.107812,TFLOPS,True,PASS,OK,cuBLASLt algo 35 layout=TN per-tensor scale,67125407,"actual=1024, expected=1024, tolerance=30.72"
isolated,3,NVIDIA RTX PRO 5000 Blackwell,12.0,fp8_e4m3,FP8_E4M3,FP32,FP16,8192,8192,8192,0.000000,0.000000,0.000000,TFLOPS,False,NOT_RUN,UNSUPPORTED,,268435456,All cuBLASLt heuristic algorithms failed
isolated,3,NVIDIA RTX PRO 5000 Blackwell,12.0,fp8_e4m3,FP8_E4M3,FP32,FP16,16384,16384,16384,22.664320,22.703039,388.103108,TFLOPS,False,PASS,OK,cuBLASLt algo 67 layout=TN per-tensor scale,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,3,NVIDIA RTX PRO 5000 Blackwell,12.0,fp8_e5m2,FP8_E5M2,FP32,FP16,4096,4096,4096,0.000000,0.000000,0.000000,TFLOPS,False,NOT_RUN,UNSUPPORTED,,268435456,No cuBLASLt algorithm for fp8_e5m2 (CUBLAS_STATUS_NOT_SUPPORTED); cuBLASLt did not provide a kernel for this precision/layout on this GPU architecture
